X,Y,OBJECTID,PARK_NAME,DPP_ASSET_ID,PROGRAM_TYPE,SITE_CLASS,BUILDING,GYM,LABEL_NUMBER,COMMENTS,DATA_SOURCE
-75.1636341891681,40.053862669122,1,Awbury Park and Recreation Center,604,PPR_REC,B,Y,N,, ,Programs 6/23
-75.0075107483677,40.1228431723608,2,Daniel Boyle Memorial Recreation Center,1843,PPR_REC,B,Y,N,, ,Programs 6/23
-75.1698319055514,40.0646864811466,3,Charles M Finley Playground,1989,PPR_REC,A,Y,Y,, ,Programs 6/23
-75.1747635378688,40.0022212258066,4,James Allen Shuler Playground,1878,PPR_REC,B,Y,N,, ,Programs 6/23
-75.1715193626166,39.9421185311373,5,Marian Anderson Recreation Center,1901,PPR_REC,A,Y,Y,, ,Programs 6/23
-75.238566006575,39.9566925841714,6,Howard Sayre Morris Recreation Center,1949,PPR_REC,B,Y,N,, ,Programs 6/23
-75.1012962526123,39.9864660108406,7,Frank Glavin Playground,1860,PPR_REC,B,Y,N,, ,Programs 6/23
-75.1850912533597,39.9690547668111,8,Lloyd Hall Recreation Center,997,PPR_REC,B,Y,Y,,Located in East Fairmount Park,Programs 6/23
-75.2332425072213,39.9952182485132,9,John C Anderson Cultural Center,3479,PPR_REC,B,Y,N,, ,Programs 6/23
-75.2486170014688,39.9081610266846,10,William A Cibotti Recreation Center,498,PPR_REC,B,Y,N,, ,Programs 6/23
-75.2317431949117,39.9152726003797,11,J Francis Finnegan Playground,95,PPR_REC,B,Y,N,, ,Programs 6/23
-75.1787581327052,39.9159380001331,12,Commodore John Barry Playground,262,PPR_REC,B,Y,N,, ,Programs 6/23
-75.1540698311632,39.9156417382743,13,Lawrence E Murphy Recreation Center,1919,PPR_REC,A,Y,Y,, ,Programs 6/23
-75.1730496072024,39.922873707902,14,Thomas I Guerin Recreation Center,1865,PPR_REC,B,Y,Y,, ,Programs 6/23
-75.2401917418978,39.9261376815886,15,John J McCreesh Sr Playground,508,PPR_REC,B,Y,N,, ,Programs 6/23
-75.1699623851432,39.9291400454535,16,A Giuseppe DiSilvestro Playground,228,PPR_REC,B,Y,N,,Mixed use building with CHOP/Free Library/Public Health/PPR,Programs 6/23
-75.1888629475385,39.9313798785127,17,George A Vare Recreation Center,1966,PPR_REC,A,Y,Y,,Renovations Started in 2022.,Programs 6/23
-75.1643497944257,39.9332542226274,18,Columbus Square,966,PPR_REC,B,Y,N,, ,Programs 6/23
-75.1512140702178,39.9337904557686,19,Solomon Sacks Playground,1947,PPR_REC,C,Y,N,, ,Programs 6/23
-75.1594820310657,39.9340058665181,20,Dr Nicola Capitolo Playground,501,PPR_REC,B,Y,N,, ,Programs 6/23
-75.1929330875736,39.9377462186599,21,Donald P Finnegan Recreation Center,452,PPR_REC,C,Y,N,, ,Programs 6/23
-75.1741810028866,39.9381682503192,22,Charles H Chew Playground,268,PPR_REC,B,Y,N,, ,Programs 6/23
-75.2098082917841,39.941956477993,23,48th and Woodland Playground,1804,PPR_REC,B,Y,N,, ,Programs 6/23
-75.1584878528585,39.9413619390034,24,Walter Palumbo Recreation Center,1927,PPR_REC,A,Y,Y,, ,Programs 6/23
-75.2170125411486,39.9428484580162,25,Kingsessing Recreation Center,1886,PPR_REC,A,Y,Y,, ,Programs 6/23
-75.2344129706505,39.9488950145935,26,Albert W Christy Sr Recreation Center,1829,PPR_REC,A,Y,Y,,,Programs 6/23
-75.1434601913825,39.9627506892972,27,Northern Liberties Recreation Center,1921,PPR_REC,A,Y,Y,, ,Programs 6/23
-75.2158173668384,39.9659803740685,28,Tiffany Fletcher Recreation Center,1911,PPR_REC,B,Y,N,,Former name Mill Creek Playground and Recreation Center (12/2022).,Programs 6/23
-75.1679388200898,39.9657190564368,29,Roberto Clemente Playground,1831,PPR_REC,C,Y,N,, ,Programs 6/23
-75.1956217828492,39.9674789707912,30,Miles Mack Playground,1910,PPR_REC,B,Y,N,, ,Programs 6/23
-75.2503959725216,39.9693586480479,31,William T Granahan Playground,1864,PPR_REC,B,Y,N,,Located within Cobbs Creek Park,Programs 6/23
-75.1671292948194,39.9684953776873,32,Francisville Recreation Center,1859,PPR_REC,B,Y,N,, ,Programs 6/23
-75.2563004471617,39.9744581296902,33,Charles A Papa Playground,1929,PPR_REC,B,Y,N,,Located in Morris Park.,Programs 6/23
-75.127804193671,39.9718519362137,34,Fishtown Recreation Center,1856,PPR_REC,A,Y,N,, ,Programs 6/23
-75.1453480195181,39.9732354816872,35,Narcissa S Cruz Recreation Center,908,PPR_REC,B,Y,N,,Two Programmable Buildings on site.,Programs 6/23
-75.2281120320227,39.9755166699724,36,Conestoga Community Playground,1982,PPR_REC,B,Y,N,, ,Programs 6/23
-75.1323369643043,39.9775636116895,37,Dan Shissler Recreation Center,1844,PPR_REC,A,Y,Y,, ,Programs 6/23
